County,FIPS state county code,Total number of discharges,"Rate of discharges per 100,000 population","Age/sex adjusted rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Age/sex adjusted number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $","Age/sex adjusted costs for inpatient stays per capita, $"
"Alameda, California",06001,123102,7645.388899,7765.937385,4.828394915,594385.0708,36914.95688,37521.61842,19245.11098,2369111651,1471.363578,1485.866723
"Alpine, California",06003,108,10516.06621,9734.71447,3.148148148,340,33106.13437,30930.5254,10558.56524,1140325.046,1110.345711,882.9874824
"Amador, California",06005,4464,12397.24506,10836.29699,4.110215054,18348,50955.34326,41625.59243,19115.39366,85331117.29,2369.782195,1799.485966
"Butte, California",06007,32797,14648.90771,13877.15581,4.162022285,136501.8449,60969.08033,56279.17903,14045.38377,460646451.6,2057.495306,1872.19561
"Calaveras, California",06009,4687,10490.15219,9492.738244,4.217409857,19767,44241.27126,36858.55012,20022.33233,93844671.61,2100.373134,1614.65438
"Colusa, California",06011,1302,6058.350007,6085.129897,4.847926267,6312,29370.43414,29365.05085,21812.62564,28400038.58,1321.485207,1322.699162
"Contra Costa, California",06013,99572,9028.263874,9057.100686,4.307836862,428939.932,38892.28791,38476.72117,19869.25978,1978421934,1793.849202,1747.323206
"Del Norte, California",06015,2699,9771.904417,9888.920287,3.860689144,10420,37726.2853,36621.29622,15358.81898,41453452.42,1500.84911,1425.926416
"El Dorado, California",06017,16585,8996.376497,8759.213033,4.286447151,71090.726,38562.4924,36367.52186,19773.31485,327940426.8,1778.88185,1593.25273
"Fresno, California",06019,103744,10616.2379,11046.58116,4.617803092,479069.3639,49023.69619,52553.58096,12177.0587,1263296778,1292.745521,1402.976748
"Glenn, California",06021,3190,11112.65937,10755.20937,4.336677116,13834,48192.01561,46332.75249,15404.0279,49138849.01,1711.797151,1636.762264
"Humboldt, California",06023,12927,9601.301267,9324.855596,4.762605569,61566.20219,45727.21088,43674.79606,17801.94353,230125724,1709.21823,1620.74127
